年度,学科／研究科,研究室,学籍番号,賞,氏名,要旨,題目
H17,情報科学科,相研,,,,,WEBページにおけるユーザビリティの追及
H17,情報科学科,松永研,,,,,安全運転管理教育システム(ASSIST)における複数カメラ使用での交通事故防止対策
H17,情報科学科,宮崎研,,,,,電子透かしの体制に関する検討 -加重平均フィルタ・メディアンフィルタの場合-
H17,情報科学科,成研,,,,,対面教育を支援するためのウェブ助言システム
H17,情報科学科,石田健研,,,,,衛星通信検討のための気象データの解析-2002年のデータ解析-
H17,情報科学科,中野研,,,,,手書き漢字認識装置の性能調査
H17,情報科学科,仲研,,,,,生化学反応シミュレータの比較評価
H17,情報科学科,澤田研,,,,,FPGAを搭載したロボット教材のためのIPとしてKUE-CHIP2の検討
H17,情報科学科,中野研,,,,,手の輪郭を用いた生体認証に関する研究
H17,情報科学科,石田健研,,,,,重畳積文法によるX線CTの画像再構成-Shepp-Loganのフィルタ関数の適用-
H17,情報科学科,稲永研,,,,,空港における目的地への交通手段検索システムの開発
H17,情報科学科,合志研,,,,,人の反応・判断能力測定用ドライビングシミュレータ
H17,情報科学科,米元研,,,,,拡張現実感のための実物体の奥行きを考慮した陰面消去
H17,情報科学科,石田健研,,,,,衛星通信検討のための気象データの解析-2001年のデータ解析-
H17,情報科学科,合志研,,,,,安全運転管理教育システム(ASSIST)における通信方法の研究
H17,情報科学科,朝廣研,,,,,問題及び選択肢をランダムに並び替えるCBTシステム
H17,情報科学科,牛島研,,,,,RFID導入におけるプライバシー問題とセキュリティ問題
H17,情報科学科,牛島研,,,,,電力計測に基づく省エネルギー対策の立案
H17,情報科学科,下川研,,,,,動画像通信システムの運用技術
H17,情報科学科,安部研,,,,,組み合わせ最適化問題に対するメタヒューリスティクスの実験的解析(1)局所探索系手法の適応-基本的性能評価-
H17,情報科学科,牛島研,,,,,小規模小売店用グループウェアの開発
H17,情報科学科,下川研,,,,,サーバ選択機構における有効な選択ポリシー
H17,情報科学科,米元研,,,,,遺伝的アルゴリズムを用いた二次元図形の抽出とジグソーパズルへの応用
H17,情報科学科,松永研,,,,,立体視のできるドライビングシミュレータに関する研究
H17,情報科学科,稲永研,,,,,RSSを容易に作成するWebサイトの開発
H17,情報科学科,中野研,,,,,OCR機能を用いたマークシート読み取り
H17,情報科学科,アプドゥハン研,,,,,位置依存モバイルコンピューティングシミュレーション環境の構築
H17,情報科学科,松永研,,,,,ビデオカメラによる距離計測に関する研究
H17,情報科学科,アプドゥハン研,,,,,非同期型P2Pグリッドコンピューティングの設計に関する研究
H17,情報科学科,花野井研,,,,,VBによる風景写真からの交通標識の抽出
H17,情報科学科,廣田研,,,,,ユースケース図と状態遷移図からERモデルへの変換支援ツール
H17,情報科学科,廣田研,,,,,システム開発演習用例題システムの改造
H17,情報科学科,宮崎研,,,,,一方向ハッシュSha1による個人ID生成システムの研究開発
H17,情報科学科,有田研,,,,,出席管理システムの設計と実装
H17,情報科学科,稲永研,,,,,企業・商品情報の発信と会員登録システム機能を持ったモバイルサイトの開発
H17,情報科学科,坂本研,,,,,ゲノム情報解析への言語処理手法の応用
H17,情報科学科,成研,,,,,RFID無人レジシステムの試作
H17,情報科学科,成研,,,,,対面教育を支援するためのe-learningシステムの開発
H17,情報科学科,合志研,,,,,安全運転管理教育システム(ASSIST)における交差点位置情報データベース構築
H17,情報科学科,相研,,,,,Fedora Core4サーバ構築と管理ーサーバの安全性について
H17,情報科学科,アプドゥハン研,,,,,セマンティックグリッドシミュレーションに関する研究
H17,情報科学科,牛島研,,,,,個人経営の小売店のIT支援
H17,情報科学科,有田研,,,,,IDカードを用いたロッカーキー管理システム
H17,情報科学科,仲研,,,,,Mathematicaによる生態系シミュレーション
H17,情報科学科,花野井研,,,,,画像データベースシステムの設計開発
H17,情報科学科,成研,,,,,履修計画作成支援システム
H17,情報科学科,中野研,,,,,オンライン文字データベースの解析
H17,情報科学科,澤田研,,,,,ハードウェア間通信の概念を理解させるための信号機を題材とした実験カリキュラム開発~TTL ICを用いた実験~
H17,情報科学科,澤田研,,,,,学生実験のための自動販売機の教材化～商品押し出し部の改造～
H17,情報科学科,中野研,,,,,名刺読取装置の性能分析
H17,情報科学科,牛島研,,,,,ＲＦＩＤ導入時に考えられる課題と解決
H17,情報科学科,相研,,,,,携帯電話における出席管理システムの構築
H17,情報科学科,牛島研,,,,,電力計測に基づく省エネルギー対策の立案
H17,情報科学科,廣田研,,,,,システム開発演習の企画
H17,情報科学科,稲永研,,,,,交通機関の時刻表情報を含んだQRコード作成ツールの開発
H17,情報科学科,相研,,,,,Linuxサーバの構築と管理及びサーバ内のオリジナルアプリケーションの設置と運用――携帯電話における講義出席確認システム
H17,情報科学科,稲永研,,,,,汎用WEBアンケート作成支援システムの開発
H17,情報科学科,中野研,,,,,バイオメトリクス個人認証システムの活用について
H17,情報科学科,朝廣研,,,,,一次方程式と二次方程式の学習のためのCBTシステム作成
H17,情報科学科,アプドゥハン研,,,,,セマンティック・グリッドにおけるグリッド・ポータルに関する研究
H17,情報科学科,安部研,,,,,組合せ最適化問題に対するメタヒューリスティクスの実験的解析　(3)タブーサーチの適用－近傍とパラメータの検討－
