No,Title,Author,Journal,Vol,No,Pages,Published_Year
0,リレー随筆他,,生体医工学,43,4,800-802,2005
1,高齢者の使用を考慮した引戸の操作性の計測・評価のための実物大実験装置の開発と評価,"田中 眞二, 前川 陽, 奥野 竜平, 赤澤 堅造",生体医工学,43,4,795-799,2005
2,足指マウス開発にむけての基礎的検討―母指の運動特性―,"田中 則子, 上田 知生, 中尾 恵, 佐藤 哲大, 湊 小太郎, 吉田 正樹, 纐纈 和美",生体医工学,43,4,790-794,2005
3,血液検査用マイクロ流体デバイスの作製,"寺田 信幸, 山田 博之, 吉田 善一",生体医工学,43,4,785-789,2005
4,複数皮質活動の動的イメージングのためのfMRI-MEG統合解析法,"隠浪 康行, 小林 哲生, 鄭 址旭, 大橋 俊平, 濱田 昌司, 長峯 隆, 福山 秀直, 東 高志, 堤 定美",生体医工学,43,4,777-784,2005
5,低侵襲心臓外科手術用リアルタイム三次元超音波Integral Videography,"ヘルランバン ニコラス, 廖 洪恩, 月原 弘之, 松宮 潔, 高本 眞一, 土肥 健純",生体医工学,43,4,769-776,2005
6,業務スケジューリングからみた看護業務属性の検討,"横内 光子, 大野 ゆう子, 笠原 聡子, 沼崎 穂高, 石井 豊恵",生体医工学,43,4,762-768,2005
7,指タップ加速度計側システムの開発とパーキンソン病診断支援への応用,"奥野 竜平, 濱田 健太郎, 横江 勝, 阿部 和夫, 佐古田 三郎, 赤澤 堅造",生体医工学,43,4,752-761,2005
8,パラレルワイヤ駆動システムと繰返し学習制御を用いた生体部位の他動的軌道追従の実験的検証,"木野 仁, 加茂 敬洋, 谷口 祥平, 川村 貞夫",生体医工学,43,4,744-751,2005
9,LAMP法と導電性中空糸膜を利用したウイルス検査法におけるウシ血清個体差の影響,"大西 陽, 菅原 俊継, 木村 主幸, 三澤 顕次, 有澤 準二, 五十嵐 治",生体医工学,43,4,738-743,2005
10,衝撃波DDSカプセルの開発とその設計法について,"石松 憲和, 玉川 雅章, 山野井 一郎",生体医工学,43,4,730-737,2005
11,ゲート動作アバランシェフォトダイオードを用いた高感度反射型パルスオキシメータ,"宮田 剛, 岩田 哲郎, 荒木 勉",生体医工学,43,4,724-729,2005
12,生体インピーダンスと血漿膠質浸透圧の同時計測による生体内水分量の推定,"片山 俊郎, 佐藤 哲大, 湊 小太郎",生体医工学,43,4,717-723,2005
13,病的声帯振動の観察のための喉頭ストロボスコピー,"出口 真次, 石丸 裕規, 鷲尾 誠一",生体医工学,43,4,709-716,2005
14,OCTを用いた生体レーザアブレーションのin situ観察,"谷澤 学, 近江 雅人, 春名 正光",生体医工学,43,4,704-708,2005
15,ダイレクト内視鏡キャリブレーションにおける磁場干渉問題に関する基礎検討,"山口 哲, 西川 敦, 宮崎 文夫, 伊藤 和弘, 島田 順一",生体医工学,43,4,694-703,2005
